Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Alternating dumbbell front raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-14d-alternating-dumbbell-front-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-14d-alternating-dumbbell-front-raise-m2-16x9.jpg']"
Hanging toes-to-bar,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-128c-hanging-toes-to-bar-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-128c-hanging-toes-to-bar-m2.jpg']"
Narrow-stance squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-30a-narrow-stance-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-30a-narrow-stance-squat-m2-16x9.jpg']"
Kneeling cable oblique crunch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Cable,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-36c-kneeling-cable-oblique-crunch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-36c-kneeling-cable-oblique-crunch-m2-16x9.jpg']"
Reverse Grip Triceps Pushdown,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Cable,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-16x9.jpg']"
Bear crawl sled drag,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Other,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-153s-bear-crawl-sled-drag-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-153s-bear-crawl-sled-drag-m4.jpg']"
Rocky Pull-Ups/Pulldowns,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Other,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/l/279_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/l/279_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/l/279_3.jpg']"
Snatch-Grip Behind-The-Neck Overhead Press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Barbell,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/l/4571_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/l/4571_2.jpg']"
Box Squat with Bands,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/l/666_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/l/666_2.jpg']"
Flexor Incline Dumbbell Curls,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Dumbbell,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/l/285_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/l/285_2.jpg']"
Seated One-Arm Dumbbell Palms-Up Wrist Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Dumbbell,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/l/386_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/l/386_2.jpg']"
Thigh adductor,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Adductors,Machine,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-74m-thigh-adductor-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-74m-thigh-adductor-m2-16x9.jpg']"
Machine Bicep Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Machine,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/l/899_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/l/899_2.jpg']"
Seated Palms-Down Barbell Wrist Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Barbell,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/l/389_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/l/389_2.jpg']"
Car driver,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Other,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-43s-car-driver-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-43s-car-driver-m4-16x9.jpg']"
Alternating Deltoid Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61d-dumbbell-front-raise-to-lateral-raise-m3-16x9.jpg']"
Hanging Oblique Knee Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-120c-hanging-oblique-crunch-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-120c-hanging-oblique-crunch-m2.jpg']"
Bodyweight Flyes,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,E-Z Curl Bar,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-182s-double-bar-roll-out-chest-fly-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-182s-double-bar-roll-out-chest-fly-m2.jpg']"
Standing Calf Raises,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Calves,Machine,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-117s-standing-calf-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-117s-standing-calf-raise-m2-16x9.jpg']"
Push-Ups - Close Triceps Position,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Body Only,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-104a-close-push-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-104a-close-push-up-m2-16x9.jpg']"
One-Arm Long Bar Row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Barbell,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-124s-single-arm-landmine-bent-over-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-124s-single-arm-landmine-bent-over-row-m3-16x9.jpg']"
Overhead cable curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Cable,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-136c-overhead-cable-curl-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-136c-overhead-cable-curl-m2.jpg']"
Single-dumbbell front raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18d-single-dumbbell-front-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18d-single-dumbbell-front-raise-m2-16x9.jpg']"
Incline cable chest fly,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Cable,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-10c-incline-cable-chest-fly-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-10c-incline-cable-chest-fly-m2-16x9.jpg']"
Single-leg depth squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Bands,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-68e-single-leg-depth-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-68e-single-leg-depth-squat-m4-16x9.jpg']"
Dumbbell suitcase crunch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Medicine Ball,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50d-dumbbell-suitcase-crunch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50d-dumbbell-suitcase-crunch-m2-16x9.jpg']"
Plate Twist,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Other,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_3.jpg']"
Single-leg cable hip extension,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Glutes,Cable,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-43c-single-leg-cable-hip-extension-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-43c-single-leg-cable-hip-extension-m2-16x9.jpg']"
Weighted Jump Squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/l/887_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/l/887_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/l/887_3.jpg']"
Squat with Chains,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/705/Male/l/705_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/705/Male/l/705_2.jpg']"
Gorilla Chin/Crunch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,9.0,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/l/183_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/l/183_2.jpg']"
Kneeling cable triceps extension,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Cable,Average,9.0,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-89c-kneeling-cable-triceps-extension-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-89c-kneeling-cable-triceps-extension-m2-16x9.jpg']"
Kneeling Cable Crunch With Alternating Oblique Twists,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Cables,Average,8.9,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/l/937_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/l/937_2.jpg']"
Bicycling,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Other,Average,8.9,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/646/Male/l/646_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/646/Male/l/646_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/646/Male/l/646_3.jpg']"
Arnold press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1e-arnold-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1e-arnold-press-m3-16x9.jpg']"
Weighted Crunches,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Other,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50d-dumbbell-suitcase-crunch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50d-dumbbell-suitcase-crunch-m2-16x9.jpg']"
Single-arm cable triceps extension,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Cable,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-31c-single-arm-cable-triceps-extension-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-31c-single-arm-cable-triceps-extension-m2-16x9.jpg']"
Barbell roll-out,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48b-barbell-roll-out-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48b-barbell-roll-out-m2-16x9.jpg']"
Kneeling cable crunch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Cable,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-35c-kneeling-cable-crunch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-35c-kneeling-cable-crunch-m2-16x9.jpg']"
Exercise Ball Pull-In,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Exercise Ball,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22s-exercise-ball-knee-roll-in-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22s-exercise-ball-knee-roll-in-m2-16x9.jpg']"
Hanging leg raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9m-hanging-leg-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9m-hanging-leg-raise-m2-16x9.jpg']"
Barbell Ab Rollout - On Knees,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48b-barbell-roll-out-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48b-barbell-roll-out-m2-16x9.jpg']"
Barbell Squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50b-barbell-back-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50b-barbell-back-squat-m2-16x9.jpg']"
Decline barbell bench press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-34n-decline-barbell-bench-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-34n-decline-barbell-bench-press-m2-16x9.jpg']"
Dumbbell Bicep Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Dumbbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-2d-dumbbell-biceps-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-2d-dumbbell-biceps-curl-m2-16x9.jpg']"
Dumbbell Goblet Squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Dumbbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-87d-dumbbell-goblet-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-87d-dumbbell-goblet-squat-m2-16x9.jpg']"
Dumbbell squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Dumbbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-120d-dumbbell-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-120d-dumbbell-squat-m2-16x9.jpg']"
Barbell front squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51b-barbell-front-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51b-barbell-front-squat-m2-16x9.jpg']"
Close-grip pull-down,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Cable,Average,8.9,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-73c-close-grip-pull-down-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-73c-close-grip-pull-down-m2-16x9.jpg']"
